seed,condition,family,n_images,off_static_gap,on64_static_gap,delta_static_on64_minus_off,off_response_gap,on64_response_gap,delta_response_on64_minus_off,c_gap,off_detection_loss_increase,on64_detection_loss_increase,delta_detection_loss_increase,off_confidence_drop,on64_confidence_drop,delta_confidence_drop
20260824,brightness:0.8,brightness,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,1.0021755984053016,1.0037162033841014,0.00154060497879982,0.07329775532707572,0.0032971492037177086,-0.01304637175053358,-0.01634352095425129,-0.0001960259512998174,-0.0006692125694826238,-0.0004731866181828064
20260824,brightness:0.6,brightness,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,1.0015228716656566,1.003211953677237,0.0016890820115804672,0.07344623235985637,0.008329744450747967,-0.006262778304517269,-0.014592522755265236,0.0004879077314399184,-0.00022740479325875475,-0.0007153125246986731
20260824,contrast:0.75,contrast,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,0.9927225653082132,0.9998907130211592,0.007168147712945938,0.07892529806122184,0.01605042489245534,0.01927528576925397,0.0032248608767986298,0.011384706140961497,0.010967128793708982,-0.0004175773472525155
20260824,contrast:0.5,contrast,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,0.9940145355649292,0.996955924667418,0.002941389102488756,0.07469853945076466,0.1499240784905851,0.1791092655621469,0.029185187071561813,0.031877491559134795,0.03537883459939621,0.0035013430402614162
20260824,gaussian_blur:1.0,gaussian_blur,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,1.0137113449163735,1.0150692658498883,0.0013579209335148335,0.07311507128179073,0.2429666444659233,0.251090451143682,0.008123806677758694,0.027936875406885518,0.03582889472017996,0.007892019313294439
20260824,gaussian_blur:2.0,gaussian_blur,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,0.9958119480870664,0.9923927756026387,-0.0034191724844276905,0.06833797786384821,1.5584555673412979,1.6884406828321517,0.1299851154908538,0.0867615466035204,0.0895788046414964,0.0028172580379760004
20260824,gaussian_noise:0.03,gaussian_noise,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,1.0001592403277755,1.0482538072392344,0.04809456691145897,0.11985171725973487,0.2624595775268972,0.23392801685258746,-0.02853156067430973,0.042536730150459334,0.04208949641906656,-0.000447233731392771
20260824,gaussian_noise:0.06,gaussian_noise,128,0.600766668561846,0.5290095182135701,-0.0717571503482759,1.0483546066097915,1.084490415174514,0.03613580856472254,0.10789295891299844,1.0199133297428489,0.913272118428722,-0.10664121131412685,0.08332610113429836,0.0818914279137971,-0.0014346732205012674
20260825,brightness:0.8,brightness,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,0.9940397259779274,0.9892889815382659,-0.004750744439661503,0.07590311300009489,0.007213540840893984,-0.021667055319994688,-0.028880596160888672,0.0012966048903763291,-0.0002484880271367728,-0.001545092917513102
20260825,brightness:0.6,brightness,128,0.6001206794753671,0.5194668220356107,-0.0806538574397564,0.9948701709508896,0.9913667365908623,-0.0035034343600273132,0.07715042307972908,0.024772219825536013,-0.0010296963155269623,-0.025801916141062975,0.005230857117567211,0.0018887531710788609,-0.0033421039464883503
