epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.81523,3.62823,5.97218,0.06607,2.98954,0,0,0,0,3.60758,5.82543,0.06694,0,0.0031,0.0031,0.0721,0.00155,0.0062
2,13.2928,3.69415,5.91967,0.0683,2.25884,0,0,0,0,3.61511,5.82788,0.06698,0,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,19.4007,3.63888,5.93249,0.06772,1.67044,0,0,0,0,3.61934,5.82887,0.06689,0,0.007619,0.007619,0.012619,0.0038095,0.015238
4,25.839,3.69711,6.00596,0.06478,1.41116,0,0,0,0,3.60162,5.82112,0.06649,0,0.00703,0.00703,0.00703,0.003515,0.01406
5,32.1601,3.69301,5.88086,0.06915,1.27104,0.00019,6e-05,0,0,3.64634,6.62609,0.06804,0,0.00604,0.00604,0.00604,0.00302,0.01208
6,38.9217,3.63491,5.93603,0.06567,1.18089,0,0,0,0,3.75711,109.24,0.07489,0,0.00505,0.00505,0.00505,0.002525,0.0101
7,45.1645,3.64664,5.94555,0.06423,1.12882,0.00015,0.00246,1e-05,0,3.82059,378.906,0.07768,0,0.00406,0.00406,0.00406,0.00203,0.00812
8,51.3548,3.61086,5.91899,0.0639,1.08327,4e-05,0.00704,2e-05,1e-05,3.84938,273.475,0.0782,0,0.00307,0.00307,0.00307,0.001535,0.00614
9,57.4939,3.53175,5.89727,0.06496,1.05757,0.05674,0.00358,9e-05,2e-05,3.84738,246.961,0.07544,0,0.00208,0.00208,0.00208,0.00104,0.00416
10,63.8071,3.58032,5.95301,0.06616,1.04562,0.00053,0.00298,0.0001,2e-05,3.73884,63.3273,0.07271,0,0.00109,0.00109,0.00109,0.000545,0.00218
