seed,off_late_median_map50_95,on_late_median_map50_95,delta
20260824,0.048125,0.049464999999999995,0.001339999999999994
20260825,0.0545,0.05394,-0.000559999999999998
20260826,0.05696,0.04967,-0.007289999999999998
