epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,77.5444,3.24626,7.5222,0.04705,1.32501,0.0005,0.00353,4e-05,1e-05,3.65622,8.54283,0.07039,0,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,152.49,2.90507,6.62828,0.03876,1.00127,0.00252,0.01137,0.00057,0.00023,3.09054,19.3861,0.048,0,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,226.433,2.59984,5.28736,0.02956,0.99935,0.00848,0.09085,0.00624,0.0026,2.73361,4.68502,0.03397,0,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,302.447,2.49213,4.22742,0.02628,0.9993,0.40822,0.01841,0.0127,0.00602,2.56968,4.1089,0.03027,0,0.009406,0.009406,0.009406,0.004703,0.018812
5,380.33,2.44014,3.86718,0.02512,0.99944,0.10797,0.10879,0.01882,0.01025,2.46337,3.83144,0.02753,0,0.009208,0.009208,0.009208,0.004604,0.018416
6,455.82,2.42141,3.74992,0.02458,1.00014,0.58151,0.02661,0.02492,0.01269,2.46353,3.71784,0.02796,0,0.00901,0.00901,0.00901,0.004505,0.01802
7,530.54,2.39949,3.6637,0.02396,0.99953,0.56915,0.02968,0.02194,0.01072,2.47965,3.66053,0.02781,0,0.008812,0.008812,0.008812,0.004406,0.017624
8,603.491,2.39597,3.60284,0.0238,0.99987,0.61328,0.02659,0.0288,0.015,2.50878,3.58324,0.02694,0,0.008614,0.008614,0.008614,0.004307,0.017228
9,671.079,2.34894,3.5511,0.02316,1.00155,0.57293,0.03832,0.03524,0.01859,2.41226,3.49328,0.02655,0,0.008416,0.008416,0.008416,0.004208,0.016832
10,736.247,2.37599,3.51977,0.02311,0.99969,0.43487,0.04637,0.03604,0.01917,2.42542,3.60614,0.026,0,0.008218,0.008218,0.008218,0.004109,0.016436
11,801.479,2.37663,3.48796,0.02302,0.99767,0.49693,0.03988,0.03181,0.01562,2.43528,3.51325,0.0258,0,0.00802,0.00802,0.00802,0.00401,0.01604
12,868.377,2.34292,3.43604,0.02283,0.99824,0.49982,0.04478,0.03671,0.01941,2.41064,3.60034,0.02605,0,0.007822,0.007822,0.007822,0.003911,0.015644
13,937.521,2.32678,3.42816,0.02264,0.99859,0.45667,0.05257,0.04527,0.02517,2.39624,3.42147,0.02517,0,0.007624,0.007624,0.007624,0.003812,0.015248
14,1009.28,2.30895,3.43747,0.02229,0.9983,0.41844,0.06264,0.04323,0.02384,2.40047,3.50341,0.02671,0,0.007426,0.007426,0.007426,0.003713,0.014852
15,1075.05,2.31792,3.36183,0.02223,0.9991,0.34916,0.0653,0.04438,0.02458,2.37914,3.33918,0.02521,0,0.007228,0.007228,0.007228,0.003614,0.014456
16,1140.62,2.30141,3.3321,0.02184,0.99818,0.40631,0.06961,0.05884,0.03301,2.35983,3.33805,0.02527,0,0.00703,0.00703,0.00703,0.003515,0.01406
17,1206.86,2.2869,3.31095,0.02176,0.99827,0.37817,0.06943,0.06068,0.03514,2.32613,3.2621,0.02411,0,0.006832,0.006832,0.006832,0.003416,0.013664
18,1275.11,2.28625,3.30256,0.02175,0.99868,0.38206,0.07147,0.05579,0.03101,2.32553,3.26904,0.02462,0,0.006634,0.006634,0.006634,0.003317,0.013268
19,1342.25,2.29681,3.28646,0.02179,0.99809,0.42598,0.08178,0.06087,0.03267,2.34199,3.21658,0.02422,0,0.006436,0.006436,0.006436,0.003218,0.012872
20,1410.59,2.30225,3.249,0.02129,0.99905,0.42368,0.07735,0.0565,0.03234,2.31644,3.21606,0.02377,0,0.006238,0.006238,0.006238,0.003119,0.012476
21,1477.12,2.2575,3.228,0.02126,0.99879,0.4564,0.08542,0.06773,0.04031,2.34025,3.23408,0.02367,0,0.00604,0.00604,0.00604,0.00302,0.01208
22,1545.27,2.25212,3.24838,0.02088,0.99855,0.33126,0.07918,0.06019,0.03225,2.32392,3.17863,0.0239,0,0.005842,0.005842,0.005842,0.002921,0.011684
23,1610.69,2.24789,3.22377,0.02126,0.99939,0.39415,0.09366,0.06997,0.0385,2.31585,3.20025,0.02395,0,0.005644,0.005644,0.005644,0.002822,0.011288
24,1676.26,2.23969,3.18028,0.02052,0.99918,0.3699,0.09522,0.07346,0.04187,2.29509,3.18114,0.02346,0,0.005446,0.005446,0.005446,0.002723,0.010892
25,1742.02,2.2541,3.17406,0.02091,0.99946,0.34988,0.08842,0.06647,0.03592,2.28928,3.1509,0.02321,0,0.005248,0.005248,0.005248,0.002624,0.010496
26,1809.32,2.24798,3.16291,0.0208,0.99828,0.3697,0.09579,0.06849,0.03847,2.33076,3.16172,0.02328,0,0.00505,0.00505,0.00505,0.002525,0.0101
27,1876.29,2.21273,3.14039,0.02059,0.9995,0.32793,0.10422,0.07455,0.04154,2.30084,3.17042,0.02377,0,0.004852,0.004852,0.004852,0.002426,0.009704
28,1943.63,2.20844,3.10794,0.02025,0.99907,0.33309,0.09824,0.07284,0.04085,2.27894,3.13076,0.02299,0,0.004654,0.004654,0.004654,0.002327,0.009308
29,2009.76,2.21825,3.11553,0.02012,0.99964,0.33593,0.09466,0.06714,0.03801,2.27306,3.1875,0.02233,0,0.004456,0.004456,0.004456,0.002228,0.008912
30,2076.41,2.21574,3.10255,0.02022,0.9982,0.30763,0.10106,0.07912,0.04603,2.25896,3.09043,0.02266,0,0.004258,0.004258,0.004258,0.002129,0.008516
31,2143.01,2.19218,3.09878,0.02069,0.99999,0.29809,0.10344,0.081,0.0462,2.24111,3.09272,0.02233,0,0.00406,0.00406,0.00406,0.00203,0.00812
32,2209.44,2.21234,3.04841,0.0199,0.99923,0.31259,0.09845,0.07611,0.04337,2.26151,3.1009,0.02225,0,0.003862,0.003862,0.003862,0.001931,0.007724
33,2274.79,2.18364,3.05402,0.01979,0.9992,0.30878,0.11487,0.08366,0.0482,2.23595,3.08463,0.02211,0,0.003664,0.003664,0.003664,0.001832,0.007328
34,2339.92,2.20287,3.05426,0.01962,0.99962,0.2757,0.1105,0.0798,0.04607,2.23676,3.11895,0.02206,0,0.003466,0.003466,0.003466,0.001733,0.006932
35,2406.24,2.18745,3.02159,0.01973,0.9998,0.26029,0.11151,0.08571,0.04898,2.22399,3.07802,0.02199,0,0.003268,0.003268,0.003268,0.001634,0.006536
36,2470.73,2.18646,3.00497,0.01952,0.99917,0.40913,0.09982,0.08959,0.05114,2.2313,3.08299,0.02167,0,0.00307,0.00307,0.00307,0.001535,0.00614
37,2537.01,2.18045,2.98338,0.01954,0.99947,0.34872,0.09907,0.08623,0.04927,2.24438,3.03778,0.02199,0,0.002872,0.002872,0.002872,0.001436,0.005744
38,2603.83,2.17108,2.99084,0.01969,0.99949,0.27623,0.12176,0.08748,0.05072,2.22581,3.03075,0.02185,0,0.002674,0.002674,0.002674,0.001337,0.005348
39,2670.27,2.13006,2.96507,0.01928,0.99998,0.34053,0.10859,0.09283,0.05154,2.21025,2.9973,0.02158,0,0.002476,0.002476,0.002476,0.001238,0.004952
40,2742.95,2.18949,2.97817,0.01954,0.9996,0.31228,0.11544,0.08563,0.04928,2.23746,3.03304,0.0215,0,0.002278,0.002278,0.002278,0.001139,0.004556
