epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
37,260.917,3.52817,5.60625,0.05304,1.00108,0.00024,0.00084,2e-05,1e-05,3.55763,12.9561,0.0645,0,0.002872,0.002872,0.002872,0.001436,0.005744
38,267.725,3.66967,5.55013,0.05487,0.99703,0.46554,0.00469,0.00157,0.00016,3.58121,10.1711,0.06396,0,0.002674,0.002674,0.002674,0.001337,0.005348
39,274.935,3.54231,5.54618,0.05114,0.99885,0.36678,0.00469,0.0003,3e-05,3.61343,10.4316,0.06358,0,0.002476,0.002476,0.002476,0.001238,0.004952
40,281.582,3.5689,5.5191,0.05387,0.99434,0.00074,0.0033,0.00012,1e-05,3.59451,13.4104,0.06356,0,0.002278,0.002278,0.002278,0.001139,0.004556
41,288.727,3.59607,5.7774,0.06121,0.99375,0.15534,0.00257,7e-05,2e-05,3.56452,40.724,0.0647,0,0.00208,0.00208,0.00208,0.00104,0.00416
42,296.047,3.67454,5.76645,0.06765,0.99899,0.19763,0.00246,7e-05,1e-05,3.57188,60.5855,0.06526,0,0.001882,0.001882,0.001882,0.000941,0.003764
43,302.91,3.59394,5.77126,0.06329,0.99828,6e-05,0.00044,0,0,3.57326,64.3753,0.06621,0,0.001684,0.001684,0.001684,0.000842,0.003368
44,309.554,3.59094,5.75664,0.0613,0.9967,0.14087,0.00011,0,0,3.59154,120.928,0.06688,0,0.001486,0.001486,0.001486,0.000743,0.002972
45,316.447,3.61872,5.76261,0.06199,1.00361,4e-05,0.00028,0,0,3.58521,95.9166,0.06552,0,0.001288,0.001288,0.001288,0.000644,0.002576
46,323.398,3.58235,5.79876,0.06089,1.00129,0.0001,0.00223,1e-05,0,3.56376,46.7992,0.06405,0,0.00109,0.00109,0.00109,0.000545,0.00218
47,330.736,3.62832,5.84504,0.06756,1.00087,0.00018,0.00732,7e-05,1e-05,3.60123,29.7925,0.06407,0,0.000892,0.000892,0.000892,0.000446,0.001784
48,337.802,3.66732,5.79291,0.06352,0.99774,0.00014,0.00721,6e-05,2e-05,3.61509,44.636,0.06513,0,0.000694,0.000694,0.000694,0.000347,0.001388
49,344.919,3.58567,5.78358,0.06135,0.99911,0.0001,0.00218,1e-05,0,3.6013,40.7037,0.06421,0,0.000496,0.000496,0.000496,0.000248,0.000992
50,351.642,3.60479,5.83261,0.05954,1.00103,0.00019,0.00285,2e-05,0,3.60578,21.9063,0.06356,0,0.000298,0.000298,0.000298,0.000149,0.000596
