epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
35,2478.97,2.57924,3.97997,0.02604,0.99957,0.59642,0.0156,0.01263,0.00575,2.682,4.14894,0.03123,0,0.003268,0.003268,0.003268,0.001634,0.006536
36,2545.11,2.57709,3.98335,0.02598,0.99938,0.53956,0.01246,0.01197,0.00537,2.70424,4.15844,0.03119,0,0.00307,0.00307,0.00307,0.001535,0.00614
37,2612.45,2.577,3.93364,0.02573,0.99973,0.27768,0.01434,0.01083,0.00472,2.69929,4.22012,0.03133,0,0.002872,0.002872,0.002872,0.001436,0.005744
38,2679.09,2.55033,3.95307,0.02584,0.99915,0.24884,0.01416,0.00936,0.00385,2.70394,4.43199,0.03126,0,0.002674,0.002674,0.002674,0.001337,0.005348
39,2745.62,2.55493,3.90858,0.02559,0.99982,0.33913,0.01105,0.01106,0.00466,2.68336,4.13534,0.03081,0,0.002476,0.002476,0.002476,0.001238,0.004952
40,2811.07,2.55229,3.93138,0.02539,0.99894,0.36778,0.01636,0.01308,0.00603,2.69928,4.10664,0.03094,0,0.002278,0.002278,0.002278,0.001139,0.004556
41,2877.07,2.61147,4.20512,0.02997,1.00121,0.27732,0.01452,0.00905,0.00382,2.68605,4.30942,0.03105,0,0.00208,0.00208,0.00208,0.00104,0.00416
42,2942.8,2.61061,4.12334,0.02996,0.99914,0.25009,0.01307,0.01166,0.00488,2.72007,4.24995,0.03108,0,0.001882,0.001882,0.001882,0.000941,0.003764
43,3010.7,2.58811,4.09481,0.02965,0.99975,0.25314,0.01741,0.01389,0.00631,2.70704,4.19908,0.03103,0,0.001684,0.001684,0.001684,0.000842,0.003368
44,3078.66,2.61655,4.05351,0.02968,1.0001,0.2843,0.01676,0.01327,0.00596,2.69694,4.12146,0.03066,0,0.001486,0.001486,0.001486,0.000743,0.002972
45,3144.05,2.56256,4.04052,0.02954,0.99968,0.24002,0.01576,0.01352,0.00611,2.68292,4.17625,0.0305,0,0.001288,0.001288,0.001288,0.000644,0.002576
46,3210.36,2.57396,4.01793,0.02919,1.00032,0.18844,0.01692,0.01136,0.00485,2.71161,4.34589,0.03092,0,0.00109,0.00109,0.00109,0.000545,0.00218
47,3276.63,2.56627,4.01136,0.02891,0.99883,0.26034,0.01702,0.01484,0.00706,2.67536,4.10431,0.03037,0,0.000892,0.000892,0.000892,0.000446,0.001784
48,3341.43,2.55346,4.01416,0.02901,1.00037,0.24014,0.01603,0.01165,0.00524,2.67095,4.17678,0.03027,0,0.000694,0.000694,0.000694,0.000347,0.001388
49,3407.24,2.55803,3.99326,0.02888,1,0.22457,0.01819,0.01043,0.00479,2.69443,4.31065,0.03055,0,0.000496,0.000496,0.000496,0.000248,0.000992
50,3471.97,2.56966,3.99588,0.02885,0.99999,0.24013,0.01767,0.01226,0.00568,2.68338,4.14866,0.03049,0,0.000298,0.000298,0.000298,0.000149,0.000596
