epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.10914,3.61119,6.01127,0.06582,2.98992,0.26374,0,0,0,0,3.60179,5.82751,0.06697,0,0,0.263743,0.196743,0.0670001,0.983715,0.335,0.0166901,0.05,0.05,0,1,0.0031,0.0031,0.0721,0.00155,0.0062
2,12.3192,3.56307,5.90334,0.06776,2.26872,0.26673,0,0,0,0,3.59756,5.8341,0.06686,0,0,0.266728,0.197535,0.0691927,0.987674,0.345964,0.0178547,0.05,0.05,0,1,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,18.4995,3.67642,6.01489,0.06512,1.67089,0.26696,0,0,0,0,3.60083,5.83466,0.06711,0,0,0.266963,0.19709,0.0698731,0.985448,0.349366,0.0183837,0.05,0.05,0,1,0.007619,0.007619,0.012619,0.0038095,0.015238
4,25.2154,3.55657,6.00308,0.06321,1.40908,0.26535,0,0,0,0,3.59841,5.83681,0.06659,0,0,0.265354,0.197158,0.0681965,0.985789,0.340983,0.0186882,0.05,0.05,0,1,0.00703,0.00703,0.00703,0.003515,0.01406
5,32.1679,3.5468,5.92814,0.0665,1.26736,0.26504,0,0,0,0,3.56264,5.83763,0.06521,0,0,0.265039,0.197305,0.067734,0.986525,0.33867,0.0190012,0.05,0.05,0,1,0.00604,0.00604,0.00604,0.00302,0.01208
6,39.6509,3.60285,6.01326,0.06379,1.18416,0.26585,0.00035,0.00156,0.00012,2e-05,3.60811,8.22271,0.06758,0,0,0.265846,0.197461,0.0683856,0.987304,0.341928,0.0189591,0.05,0.05,0,1,0.00505,0.00505,0.00505,0.002525,0.0101
7,46.9842,3.64653,5.96353,0.06619,1.12467,0.26543,0.00036,0.00655,6e-05,2e-05,3.69886,117.095,0.07616,0,0,0.265427,0.197218,0.0682095,0.986089,0.341047,0.0189993,0.05,0.05,0,1,0.00406,0.00406,0.00406,0.00203,0.00812
8,54.7868,3.63173,5.93868,0.06628,1.08696,0.26952,4e-05,0.0004,0,0,3.61527,41.6742,0.07127,0,0,0.269516,0.19776,0.071756,0.988802,0.35878,0.0194432,0.05,0.05,0,1,0.00307,0.00307,0.00307,0.001535,0.00614
9,63.3369,3.57732,5.9923,0.06394,1.06351,0.2677,0,0,0,0,3.66395,25.068,0.07023,0,0,0.267699,0.19733,0.07037,0.986648,0.35185,0.019315,0.05,0.05,0,1,0.00208,0.00208,0.00208,0.00104,0.00416
10,69.8947,3.60331,5.98631,0.06762,1.04583,0.27069,0.00018,0.0046,5e-05,2e-05,3.5925,19.5005,0.06967,0,0,0.270691,0.197978,0.0727134,0.989888,0.363567,0.0195069,0.05,0.05,0,1,0.00109,0.00109,0.00109,0.000545,0.00218
