epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,8.30571,3.59909,5.89584,0.06575,2.98661,0,0,0,0,3.60423,5.82712,0.06717,0,0.0031,0.0031,0.0721,0.00155,0.0062
2,16.7328,3.58668,5.88875,0.06369,2.25729,0,0,0,0,3.60527,5.83148,0.06742,0,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,24.5594,3.68052,5.91807,0.06876,1.67419,0,0,0,0,3.60366,5.83698,0.06756,0,0.007619,0.007619,0.012619,0.0038095,0.015238
4,31.2906,3.76988,5.94416,0.07011,1.40804,0,0,0,0,3.6003,5.83775,0.06761,0,0.00703,0.00703,0.00703,0.003515,0.01406
5,38.1102,3.59574,5.87876,0.0699,1.26329,0,0,0,0,3.60423,5.8319,0.06734,0,0.00604,0.00604,0.00604,0.00302,0.01208
6,44.5924,3.6591,5.89047,0.06553,1.17662,0.00029,0.00011,0,0,3.65745,18.5589,0.07,0,0.00505,0.00505,0.00505,0.002525,0.0101
7,51.1158,3.63338,5.89867,0.06409,1.12382,0.043,0.00229,0.00012,2e-05,3.78626,92.94,0.07638,0,0.00406,0.00406,0.00406,0.00203,0.00812
8,58.8069,3.59295,5.89295,0.06863,1.08978,6e-05,0.00347,1e-05,0,3.77585,59.6091,0.07224,0,0.00307,0.00307,0.00307,0.001535,0.00614
9,66.4258,3.69945,5.8993,0.06739,1.06133,0.00016,0.00084,0,0,3.78335,145.899,0.0751,0,0.00208,0.00208,0.00208,0.00104,0.00416
10,73.8744,3.70833,5.96052,0.06798,1.04275,0.00019,0.00374,3e-05,1e-05,3.82647,203.426,0.07645,0,0.00109,0.00109,0.00109,0.000545,0.00218
