epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,90.4639,3.31991,7.68844,0.04838,1.32501,0.00103,0.00132,4e-05,1e-05,3.86506,283.73,0.07288,0,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,177.422,2.90374,6.67766,0.03857,1.00181,0.00244,0.01547,0.00062,0.00018,3.06891,6.40964,0.04826,0,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,261.946,2.62195,5.48587,0.03039,0.99993,0.00294,0.02808,0.00092,0.00034,3.07145,39.5269,0.04189,0,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,351.829,2.58461,4.55199,0.02811,0.9988,0.00627,0.10255,0.00571,0.00282,2.6583,4.42248,0.0317,0,0.009406,0.009406,0.009406,0.004703,0.018812
5,441.054,2.51174,4.05091,0.02618,0.99985,0.00614,0.1744,0.01329,0.00761,2.61062,4.04295,0.03008,0,0.009208,0.009208,0.009208,0.004604,0.018416
6,525.769,2.48473,3.89572,0.0256,0.99954,0.00794,0.19773,0.01443,0.00709,2.58993,3.90035,0.02963,0,0.00901,0.00901,0.00901,0.004505,0.01802
7,615.219,2.4673,3.78366,0.02472,1.00025,0.48762,0.0234,0.01449,0.0078,2.68435,4.02475,0.03285,0,0.008812,0.008812,0.008812,0.004406,0.017624
8,704.309,2.41624,3.69541,0.02396,0.99969,0.53927,0.02274,0.02434,0.01224,2.5224,3.70835,0.02731,0,0.008614,0.008614,0.008614,0.004307,0.017228
9,786.848,2.36768,3.62765,0.02374,1.00097,0.49351,0.03571,0.03034,0.01528,2.43413,3.58164,0.02705,0,0.008416,0.008416,0.008416,0.004208,0.016832
10,863.978,2.42062,3.57106,0.02347,0.99975,0.53275,0.03882,0.03294,0.01722,2.46151,3.5787,0.02781,0,0.008218,0.008218,0.008218,0.004109,0.016436
11,942.651,2.40249,3.53193,0.02325,0.99787,0.50578,0.03621,0.03367,0.01753,2.48326,3.49913,0.02708,0,0.00802,0.00802,0.00802,0.00401,0.01604
12,1022.43,2.3554,3.54637,0.02338,0.9985,0.46034,0.04735,0.03791,0.0204,2.4438,3.43403,0.02673,0,0.007822,0.007822,0.007822,0.003911,0.015644
13,1100.03,2.37725,3.48627,0.02277,0.99837,0.43812,0.04896,0.03835,0.02003,2.43589,3.4043,0.02637,0,0.007624,0.007624,0.007624,0.003812,0.015248
14,1179.6,2.36135,3.43861,0.02253,0.9984,0.47603,0.04773,0.04204,0.02172,2.38863,3.41814,0.02578,0,0.007426,0.007426,0.007426,0.003713,0.014852
15,1258.67,2.3354,3.39977,0.02218,0.99807,0.42717,0.0547,0.04479,0.02407,2.39865,3.414,0.02535,0,0.007228,0.007228,0.007228,0.003614,0.014456
16,1343.91,2.32545,3.39387,0.02214,0.99858,0.45658,0.05623,0.04496,0.02532,2.34827,3.35928,0.02537,0,0.00703,0.00703,0.00703,0.003515,0.01406
17,1420.67,2.31212,3.35887,0.02231,0.99849,0.39845,0.0661,0.05517,0.02836,2.33879,3.29101,0.02493,0,0.006832,0.006832,0.006832,0.003416,0.013664
18,1492.52,2.31722,3.3348,0.02184,0.99791,0.43027,0.0609,0.04747,0.02556,2.38334,3.29551,0.025,0,0.006634,0.006634,0.006634,0.003317,0.013268
19,1560.67,2.29082,3.33763,0.02181,0.99905,0.42039,0.06823,0.05107,0.02785,2.34974,3.25705,0.02441,0,0.006436,0.006436,0.006436,0.003218,0.012872
20,1628.13,2.2744,3.32295,0.02183,0.99853,0.4546,0.06708,0.05303,0.02964,2.32051,3.29383,0.02485,0,0.006238,0.006238,0.006238,0.003119,0.012476
21,1693.01,2.28679,3.30649,0.02159,0.99972,0.37947,0.07547,0.05614,0.03048,2.31671,3.27575,0.02423,0,0.00604,0.00604,0.00604,0.00302,0.01208
22,1760.03,2.27302,3.2654,0.02142,0.99809,0.399,0.07892,0.05925,0.03337,2.31747,3.26561,0.02426,0,0.005842,0.005842,0.005842,0.002921,0.011684
23,1827.31,2.26736,3.24882,0.02129,0.99954,0.36596,0.08479,0.06273,0.0341,2.31277,3.23627,0.02379,0,0.005644,0.005644,0.005644,0.002822,0.011288
