epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
35,2346.72,2.19691,3.08086,0.02045,0.99908,0.45751,0.08768,0.08086,0.04726,2.26368,3.09999,0.02294,0,0.003268,0.003268,0.003268,0.001634,0.006536
36,2411.71,2.1888,3.06354,0.01988,0.99923,0.33803,0.09653,0.08236,0.04782,2.26937,3.15426,0.02241,0,0.00307,0.00307,0.00307,0.001535,0.00614
37,2476.78,2.17584,3.05789,0.01988,0.99985,0.3343,0.09673,0.0776,0.04452,2.25262,3.07469,0.02213,0,0.002872,0.002872,0.002872,0.001436,0.005744
38,2543.06,2.15702,3.02773,0.0198,0.99993,0.3222,0.1042,0.0804,0.04743,2.21824,3.04398,0.02205,0,0.002674,0.002674,0.002674,0.001337,0.005348
39,2607.37,2.17165,2.99116,0.01954,0.99866,0.30962,0.09729,0.07786,0.04591,2.21806,3.04059,0.02166,0,0.002476,0.002476,0.002476,0.001238,0.004952
40,2668.5,2.15175,2.98783,0.01944,1.00059,0.36514,0.10088,0.08709,0.05193,2.21794,3.00521,0.02182,0,0.002278,0.002278,0.002278,0.001139,0.004556
41,2730.45,2.19804,3.05419,0.02225,0.99969,0.36433,0.10034,0.07964,0.0449,2.26142,3.06324,0.02228,0,0.00208,0.00208,0.00208,0.00104,0.00416
42,2791.68,2.18869,2.97589,0.02211,0.99994,0.31664,0.10159,0.08622,0.0506,2.21206,3.0185,0.02171,0,0.001882,0.001882,0.001882,0.000941,0.003764
43,2852.37,2.16375,2.92807,0.02191,0.99967,0.34574,0.0995,0.08867,0.05212,2.21864,2.97891,0.02158,0,0.001684,0.001684,0.001684,0.000842,0.003368
44,2913.34,2.1368,2.90818,0.02156,0.99938,0.33512,0.10516,0.09001,0.05342,2.20948,2.98877,0.02153,0,0.001486,0.001486,0.001486,0.000743,0.002972
45,2975.12,2.15699,2.88926,0.0217,0.99961,0.29256,0.10558,0.09476,0.05558,2.21423,2.97125,0.02172,0,0.001288,0.001288,0.001288,0.000644,0.002576
46,3037.54,2.14621,2.86289,0.02146,1.00018,0.31456,0.10559,0.08846,0.05327,2.22213,2.9574,0.02136,0,0.00109,0.00109,0.00109,0.000545,0.00218
47,3098.24,2.12996,2.87515,0.02126,1.00004,0.29129,0.1159,0.0932,0.0558,2.20592,2.96213,0.02129,0,0.000892,0.000892,0.000892,0.000446,0.001784
48,3160.86,2.1199,2.87492,0.02101,0.99958,0.2921,0.11552,0.09151,0.05569,2.2102,2.97048,0.02126,0,0.000694,0.000694,0.000694,0.000347,0.001388
49,3222.61,2.12663,2.85508,0.0211,0.99949,0.31658,0.111,0.09393,0.05621,2.20979,2.95746,0.02127,0,0.000496,0.000496,0.000496,0.000248,0.000992
50,3287.4,2.10074,2.83418,0.0209,1.00017,0.29414,0.11174,0.09314,0.05618,2.19186,2.95153,0.02113,0,0.000298,0.000298,0.000298,0.000149,0.000596
