epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,150.917,3.21688,7.49072,0.04688,1.32547,1.06441,0.0001,0.00104,1e-05,0,3.72622,13.4342,0.06957,0,0,1.06441,0.99584,0.778172,0.15,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,299.603,2.85122,6.36037,0.03705,1.00308,0.95027,0.00154,0.0087,0.00044,0.00017,3.15385,16.6497,0.04641,0,0,0.95027,0.996312,0.587471,0.15,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,446.333,2.61741,5.29528,0.0299,1.00355,0.83928,0.0024,0.0706,0.00235,0.00109,2.76949,4.79407,0.03477,0,0,0.839277,0.988987,0.409808,0.15,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,592.997,2.55132,4.40624,0.02713,1.00088,0.75723,0.00433,0.13523,0.00686,0.00309,2.68183,4.4164,0.03245,0,0,0.757227,0.951443,0.310603,0.15,0.009406,0.009406,0.009406,0.004703,0.018812
5,729.92,2.49998,3.99112,0.02607,1.00287,0.68509,0.00559,0.14276,0.01204,0.00522,2.67921,4.25158,0.0308,0,0,0.685088,0.881926,0.259888,0.15,0.009208,0.009208,0.009208,0.004604,0.018416
6,864.023,2.44421,3.8213,0.02517,0.9975,0.64445,0.72191,0.02057,0.02055,0.01035,2.50894,3.73476,0.02855,0,0,0.644453,0.819239,0.254849,0.15,0.00901,0.00901,0.00901,0.004505,0.01802
7,997.887,2.43445,3.7282,0.02428,0.99856,0.60768,0.56118,0.0185,0.02175,0.01091,2.48648,3.68662,0.02731,0,0,0.607681,0.76369,0.249112,0.15,0.008812,0.008812,0.008812,0.004406,0.017624
8,1131.78,2.41967,3.63897,0.02379,0.99833,0.559,0.57329,0.02843,0.02085,0.01094,2.50234,3.70409,0.02746,0,0,0.558996,0.711144,0.220515,0.15,0.008614,0.008614,0.008614,0.004307,0.017228
9,1265.57,2.40022,3.57797,0.02319,0.99779,0.53065,0.53216,0.03378,0.03496,0.01801,2.47124,3.49309,0.02728,0,0,0.530654,0.663997,0.220427,0.15,0.008416,0.008416,0.008416,0.004208,0.016832
10,1399.41,2.36069,3.56813,0.02344,0.99739,0.48328,0.47335,0.04446,0.03484,0.01777,2.41616,3.45662,0.02628,0,0,0.483279,0.599328,0.206137,0.15,0.008218,0.008218,0.008218,0.004109,0.016436
