epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
26,3541.32,2.26231,3.2266,0.02119,0.99933,0.27352,0.38298,0.08455,0.06486,0.03508,2.32976,3.22417,0.02372,0,0,0.273515,0.320986,0.134872,0.15,0.00505,0.00505,0.00505,0.002525,0.0101
27,3674.77,2.22762,3.21282,0.02106,0.9993,0.272,0.39266,0.08134,0.06724,0.03836,2.30881,3.20671,0.02402,0,0,0.272001,0.31865,0.134685,0.15,0.004852,0.004852,0.004852,0.002426,0.009704
28,3808.33,2.22969,3.18107,0.02078,0.99895,0.26884,0.33425,0.08538,0.06597,0.035,2.31309,3.19392,0.02384,0,0,0.268837,0.317449,0.130613,0.15,0.004654,0.004654,0.004654,0.002327,0.009308
29,3941.86,2.23966,3.18346,0.02053,0.99883,0.26527,0.34063,0.08132,0.06535,0.03593,2.30202,3.21418,0.02357,0,0,0.265268,0.312664,0.12945,0.15,0.004456,0.004456,0.004456,0.002228,0.008912
30,4075.38,2.23943,3.18414,0.02068,0.9996,0.26664,0.33808,0.09002,0.06656,0.03644,2.29776,3.13546,0.0233,0,0,0.266643,0.314357,0.130048,0.15,0.004258,0.004258,0.004258,0.002129,0.008516
31,4208.97,2.22012,3.17902,0.02106,0.99895,0.26861,0.30693,0.08011,0.06731,0.03835,2.26826,3.13636,0.02304,0,0,0.268608,0.31495,0.132731,0.15,0.00406,0.00406,0.00406,0.00203,0.00812
32,4342.58,2.24852,3.12975,0.02047,0.99997,0.26508,0.33455,0.09298,0.06917,0.03849,2.29117,3.1513,0.02296,0,0,0.265085,0.309832,0.131976,0.15,0.003862,0.003862,0.003862,0.001931,0.007724
33,4476.09,2.21477,3.11758,0.02033,0.9982,0.26138,0.34215,0.10077,0.07073,0.03984,2.23775,3.13181,0.0225,0,0,0.261383,0.308925,0.126713,0.15,0.003664,0.003664,0.003664,0.001832,0.007328
34,4609.88,2.21444,3.12628,0.02013,1.00005,0.26453,0.26695,0.09619,0.06979,0.03999,2.25987,3.14083,0.02256,0,0,0.264528,0.309803,0.131077,0.15,0.003466,0.003466,0.003466,0.001733,0.006932
35,4743.59,2.20841,3.09739,0.02003,0.9997,0.26217,0.25242,0.10487,0.08037,0.04625,2.22901,3.12798,0.02234,0,0,0.262169,0.307636,0.129312,0.15,0.003268,0.003268,0.003268,0.001634,0.006536
