seed,epoch,image,cosine_on64,cosine_on128,delta_cosine,norm_ratio_on64,norm_ratio_on128,delta_norm_ratio,negative_on64,negative_on128
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000003242.jpg,-0.01840982213616371,0.020650476217269897,0.03906029835343361,0.004305475857108831,0.004701806697994471,0.0003963308408856392,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000009885.jpg,0.012445981614291668,-0.007026448380202055,-0.019472429994493723,0.006681215483695269,0.008822297677397728,0.0021410821937024593,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000012236.jpg,0.021120652556419373,-0.05789608135819435,-0.07901673391461372,0.07394762337207794,0.025596801191568375,-0.04835082218050957,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000028359.jpg,0.003397341351956129,0.01751246303319931,0.014115121681243181,0.005916358903050423,0.005287384148687124,-0.0006289747543632984,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000039606.jpg,0.037091851234436035,-0.0037611594889312983,-0.04085301072336733,0.007809379603713751,0.006418747827410698,-0.001390631776303053,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000039743.jpg,0.007849632762372494,-0.010785222053527832,-0.018634854815900326,0.006844693794846535,0.008101755753159523,0.0012570619583129883,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000043202.jpg,0.010556318797171116,-0.00945255532860756,-0.020008874125778675,0.08220034837722778,0.058697547763586044,-0.02350280061364174,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000055118.jpg,-0.012791699729859829,0.002739354968070984,0.015531054697930813,0.009585895575582981,0.014716057106852531,0.00513016153126955,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000087671.jpg,0.0014940110268071294,-0.007103063631802797,-0.008597074658609927,0.008506542071700096,0.007749013602733612,-0.0007575284689664841,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000092634.jpg,-0.00996105931699276,-0.025250982493162155,-0.015289923176169395,0.013429133221507072,0.01110364031046629,-0.002325492911040783,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000098596.jpg,0.000998848583549261,-0.010895440354943275,-0.011894288938492537,0.015970200300216675,0.018169552087783813,0.0021993517875671387,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000101892.jpg,-0.009254739619791508,0.005469219759106636,0.014723959378898144,0.009847737848758698,0.007415476255118847,-0.0024322615936398506,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000103427.jpg,-0.018934231251478195,0.011657853610813618,0.030592084862291813,0.008459527045488358,0.005789621267467737,-0.0026699057780206203,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000111194.jpg,-0.018604103475809097,0.005318270530551672,0.02392237400636077,0.026157528162002563,0.010303514078259468,-0.015854014083743095,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000115370.jpg,0.00798105075955391,0.01781950332224369,0.009838452562689781,0.005632751155644655,0.007195376791059971,0.0015626256354153156,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000124311.jpg,-0.0037549983244389296,0.017890021204948425,0.021645019529387355,0.017872683703899384,0.012983618304133415,-0.004889065399765968,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000128142.jpg,0.01616528443992138,-0.0012100226012989879,-0.017375307041220367,0.009560213424265385,0.008246193639934063,-0.0013140197843313217,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000142318.jpg,-0.013981330208480358,-0.02753632701933384,-0.013554996810853481,0.014510910026729107,0.018256239593029022,0.0037453295662999153,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000148077.jpg,0.015925923362374306,-0.005570478271692991,-0.021496401634067297,0.005194985773414373,0.010304665192961693,0.005109679419547319,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000168738.jpg,0.006371535360813141,-0.012262197211384773,-0.018633732572197914,0.007327031809836626,0.008617714047431946,0.0012906822375953197,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000171384.jpg,0.021289333701133728,0.011169081553816795,-0.010120252147316933,0.011275590397417545,0.008551808074116707,-0.0027237823233008385,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000172342.jpg,-0.00362207368016243,4.123247344978154e-05,0.0036633061536122113,0.008822701871395111,0.008900406770408154,7.770489901304245e-05,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000175227.jpg,0.009115643799304962,0.02428736351430416,0.015171719714999199,0.00871681421995163,0.005542157683521509,-0.0031746565364301205,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000177705.jpg,0.0004238806141074747,0.0009545644861645997,0.000530683872057125,0.0076956613920629025,0.011813156306743622,0.004117494914680719,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000178690.jpg,0.011744414456188679,0.04217563197016716,0.03043121751397848,0.009254226461052895,0.008715848438441753,-0.0005383780226111412,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000189770.jpg,0.05094527825713158,0.017390817403793335,-0.03355446085333824,0.004109338857233524,0.0037311529740691185,-0.0003781858831644058,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000190942.jpg,-0.027946962043642998,0.011612406000494957,0.039559368044137955,0.007036616560071707,0.008586890064179897,0.0015502735041081905,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000205010.jpg,0.0027474614325910807,0.0038015437312424183,0.0010540822986513376,0.01342241745442152,0.012203754857182503,-0.0012186625972390175,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000205435.jpg,-0.0014463297557085752,-0.0033342984970659018,-0.0018879687413573265,0.007743361406028271,0.007420812267810106,-0.00032254913821816444,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000222228.jpg,0.007152495440095663,0.042045243084430695,0.03489274764433503,0.007853357121348381,0.010197851806879044,0.0023444946855306625,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000224366.jpg,0.005416502710431814,0.01980523206293583,0.014388729352504015,0.012115432880818844,0.008890786208212376,-0.003224646672606468,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000241623.jpg,-0.026736510917544365,-0.03793935477733612,-0.011202843859791756,0.053113438189029694,0.03252493962645531,-0.020588498562574387,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000261696.jpg,0.02588525600731373,-0.02899235300719738,-0.05487760901451111,0.003646914381533861,0.0039014481008052826,0.00025453371927142143,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000268809.jpg,-0.009521993808448315,-0.010532345622777939,-0.0010103518143296242,0.024266470223665237,0.02164299413561821,-0.0026234760880470276,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000277912.jpg,0.0025347513146698475,-0.004909132607281208,-0.0074438839219510555,0.012392725795507431,0.0101009551435709,-0.002291770651936531,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000278763.jpg,0.04658820480108261,0.018503861501812935,-0.028084343299269676,0.004426318686455488,0.004328124225139618,-9.819446131587029e-05,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000306710.jpg,-0.0036046854220330715,0.02111794240772724,0.024722627829760313,0.04011102393269539,0.016374533995985985,-0.023736489936709404,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000315221.jpg,0.02847548946738243,0.00962835643440485,-0.01884713303297758,0.004673230927437544,0.004487058613449335,-0.00018617231398820877,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000332646.jpg,-0.011444684118032455,0.01128174364566803,0.022726427763700485,0.007650198880583048,0.010339776985347271,0.002689578104764223,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000341797.jpg,-0.02156708762049675,0.010912091471254826,0.032479179091751575,0.013647201471030712,0.014850666746497154,0.001203465275466442,True,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000345635.jpg,-0.001929106772877276,-0.0318262092769146,-0.02989710250403732,0.016262944787740707,0.010468119755387306,-0.005794825032353401,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000348684.jpg,0.01379308756440878,0.005531264003366232,-0.008261823561042547,0.015665855258703232,0.009543590247631073,-0.006122265011072159,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000358580.jpg,0.005783091299235821,0.027841171249747276,0.022058079950511456,0.00642310781404376,0.0067582400515675545,0.0003351322375237942,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000361519.jpg,-0.027707718312740326,-0.0383666530251503,-0.010658934712409973,0.06227484345436096,0.057179324328899384,-0.005095519125461578,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000380034.jpg,-0.021523920819163322,-0.024530721828341484,-0.0030068010091781616,0.010105717927217484,0.008081578649580479,-0.002024139277637005,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000397211.jpg,0.009413112886250019,-0.009721696376800537,-0.019134809263050556,0.022535478696227074,0.015049737878143787,-0.007485740818083286,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000399784.jpg,0.006924494635313749,0.030302569270133972,0.023378074634820223,0.009949017316102982,0.009452464058995247,-0.0004965532571077347,False,False
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000400606.jpg,0.048797789961099625,-0.037977736443281174,-0.0867755264043808,0.010596714913845062,0.011016630567610264,0.00041991565376520157,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000435454.jpg,0.00022750678181182593,-0.004167804028838873,-0.004395310810650699,0.01065616961568594,0.011099345982074738,0.00044317636638879776,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000441240.jpg,-0.010323555208742619,-0.0034251799806952477,0.006898375228047371,0.01268976554274559,0.009769693948328495,-0.002920071594417095,True,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000447095.jpg,0.005919823423027992,-0.005203690845519304,-0.011123514268547297,0.007171176839619875,0.00526419747620821,-0.001906979363411665,False,True
20260824,9,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000447118.jpg,0.0014301707269623876,-0.010088961571455002,-0.01151913229841739,0.020158842206001282,0.0127812335267663,-0.0073776086792349815,False,True
