seed,epoch,delta_cosine_n,delta_cosine_mean,delta_cosine_median,delta_cosine_ci_low,delta_cosine_ci_high,delta_cosine_q25,delta_cosine_q75,cosine_shift,delta_norm_ratio_n,delta_norm_ratio_mean,delta_norm_ratio_median,delta_norm_ratio_ci_low,delta_norm_ratio_ci_high,delta_norm_ratio_q25,delta_norm_ratio_q75,norm_ratio_shift,negative_fraction_on64,negative_fraction_on128
20260824,9,64,-0.004424310376407448,-0.003023431490873918,-0.010777229384984821,0.003406889285543002,-0.018634013133123517,0.01477512190467678,no_detectable_shift,64,-0.003080548172874842,-0.0005836763884872198,-0.0016117931809276342,0.00025453371927142143,-0.002683374914340675,0.0012168644461780787,no_detectable_shift,0.34375,0.5
20260824,24,64,0.0028061235290124387,0.0007397891022264957,-0.004801166011020541,0.009533136035315692,-0.011335963172314223,0.01664276811061427,no_detectable_shift,64,-0.0032787808086141013,-0.002366372907999903,-0.002951536327600479,-0.002029130235314369,-0.00354555482044816,-0.0014156342949718237,decrease,0.4375,0.359375
20260824,49,64,0.0009075787423853399,-0.002286738279508427,-0.006537273526191711,0.006958055775612593,-0.013123215117957443,0.016734138880565297,no_detectable_shift,64,-0.0018709561691139243,-0.0015424350276589394,-0.0016912310384213924,-0.0012221205979585648,-0.0021994681155774742,-0.0008504446304868907,decrease,0.390625,0.390625
20260825,9,64,-0.009254912330902698,-0.007326086284592748,-0.011373212561011314,-0.0012166248634457588,-0.019132810411974788,0.011628727545030415,decrease,64,-0.0031493800015596207,-0.0022489922121167183,-0.0029029380530118942,-0.0010775579139590263,-0.004001536872237921,-0.0004254229133948684,decrease,0.421875,0.625
20260825,24,64,-8.73363838422847e-05,-0.0015231706202030182,-0.008548306534066796,0.004258065742760664,-0.014406473717826884,0.012797380069969222,no_detectable_shift,64,-0.001926012395415455,-0.0015412866487167776,-0.0018173223186749965,-0.000958896242082119,-0.0026065524434670806,-0.0005787408445030451,decrease,0.4375,0.421875
20260825,49,64,0.0008596964817115804,-0.0017597975675016642,-0.007118032313883305,0.004549691453576088,-0.00999569718260318,0.009891988709568977,no_detectable_shift,64,-0.0014382730423676549,-0.0010838211746886373,-0.0014885722193866968,-0.0008231718093156815,-0.0018298017675988376,-0.0005663467163685709,decrease,0.3125,0.265625
20260826,9,64,-0.0055146902627711825,-0.0057421098463237286,-0.013934073969721794,-0.00048022158443927765,-0.02245153475087136,0.012054049817379564,decrease,64,-0.0007276213145814836,-0.0010939294006675482,-0.0018514404073357582,-0.00047753332182765007,-0.002650954993441701,0.00046748050954192877,decrease,0.421875,0.53125
20260826,24,64,-0.0016377516230932088,-0.00508070969954133,-0.0106086116284132,0.006949935661396012,-0.016183746280148625,0.016037168068578467,no_detectable_shift,64,-0.0035357619181013433,-0.001441270112991333,-0.0019044019281864166,-0.001306659891270101,-0.0027532074018381536,-0.00099205068545416,decrease,0.4375,0.4375
20260826,49,64,0.0020218399668010534,0.0026800642954185605,-0.0035538282245397568,0.009310258086770773,-0.009722300572320819,0.015872395859332755,no_detectable_shift,64,-0.0020975381303287577,-0.0012258720817044377,-0.0016360861482098699,-0.0008413017494603992,-0.002073003794066608,-0.0006526096258312464,decrease,0.484375,0.34375
