epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,151.02,3.23374,7.48168,0.04682,1.32486,1.20096,0.00027,0.00305,2e-05,1e-05,3.72775,12.1686,0.07022,0,0,1.20096,1.00073,1.00087,0.15,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,299.393,2.79897,6.391,0.03625,1.00211,1.18945,0.00126,0.00996,0.00017,5e-05,3.4718,114.371,0.05122,0,0,1.18944,0.99161,0.990797,0.15,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,446.103,2.60297,5.2101,0.02915,1.00332,1.16365,0.00493,0.0428,0.00321,0.00132,2.96263,91.3758,0.04153,0,0,1.16365,0.969665,0.969751,0.15,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,592.653,2.51794,4.43393,0.0269,1.0019,1.08887,0.00447,0.13661,0.006,0.00298,2.66479,4.43843,0.03237,0,0,1.08887,0.907596,0.907192,0.15,0.009406,0.009406,0.009406,0.004703,0.018812
5,729.818,2.46875,4.01668,0.02569,1.00281,0.96531,0.07408,0.12534,0.0166,0.00857,2.53653,4.00951,0.02844,0,0,0.965306,0.804434,0.80441,0.15,0.009208,0.009208,0.009208,0.004604,0.018416
6,863.873,2.43897,3.85446,0.02498,0.99791,0.82303,0.44879,0.03072,0.02065,0.01021,2.50287,3.7929,0.0279,0,0,0.823033,0.686184,0.685538,0.15,0.00901,0.00901,0.00901,0.004505,0.01802
7,997.814,2.42022,3.73857,0.02436,0.99793,0.68869,0.65871,0.02097,0.02694,0.01368,2.4651,3.66146,0.0276,0,0,0.688685,0.573789,0.574019,0.15,0.008812,0.008812,0.008812,0.004406,0.017624
8,1131.57,2.41696,3.67105,0.02411,0.99866,0.5778,0.58712,0.02422,0.0336,0.01874,2.45639,3.57045,0.02674,0,0,0.577801,0.481973,0.481029,0.15,0.008614,0.008614,0.008614,0.004307,0.017228
9,1265.25,2.40095,3.59421,0.02356,0.9978,0.46746,0.56111,0.03602,0.03163,0.01507,2.43505,3.61647,0.02681,0,0,0.467455,0.390238,0.388853,0.15,0.008416,0.008416,0.008416,0.004208,0.016832
10,1399.01,2.40586,3.5609,0.02343,0.99817,0.41988,0.43783,0.03962,0.03411,0.01629,2.45065,3.56596,0.02619,0,0,0.419881,0.350985,0.348818,0.15,0.008218,0.008218,0.008218,0.004109,0.016436
11,1532.92,2.39052,3.52637,0.02305,0.99741,0.39956,0.47063,0.03652,0.03326,0.01719,2.42247,3.48726,0.02619,0,0,0.399562,0.33396,0.331977,0.15,0.00802,0.00802,0.00802,0.00401,0.01604
