scope,seed,alpha,observations,q_loss_B,q_loss_C,q_grad_B,q_grad_C,r_loss,r_grad,score,accepted,passing_seed_count,reject_reason
seed,20260824,0.25,128,0.02114064241176506,0.018203668967597314,0.005303636820059193,0.02491958212806255,0.8610745413047013,4.6985838158851205,,False,,seed_ratio_outside_frozen_band
seed,20260825,0.25,128,0.02250447151213554,0.0187904183195077,0.005704106087494254,0.023586700545874403,0.8349637675061583,4.135038897257916,,False,,seed_ratio_outside_frozen_band
seed,20260826,0.25,128,0.022181961476341466,0.01866019593004015,0.006202004271006624,0.024810453472175205,0.8412329067446306,4.000392838837616,,False,,seed_ratio_outside_frozen_band
pooled,,0.25,384,0.021942862790990725,0.018611483539660308,0.005766355897367745,0.024560259463864545,0.8481793700729783,4.259234064112473,1.6137524912043746,False,0,pooled_ratio_outside_frozen_band;fewer_than_two_seeds_in_frozen_band
seed,20260824,0.5,128,0.02114064241176506,0.025889974193903785,0.005303636820059193,0.04903980911049223,1.2246540899578178,9.246449327943406,,False,,seed_ratio_outside_frozen_band
seed,20260825,0.5,128,0.02250447151213554,0.026412789700256685,0.005704106087494254,0.04616855172275822,1.1736685167662606,8.093915333022764,,False,,seed_ratio_outside_frozen_band
seed,20260826,0.5,128,0.022181961476341466,0.026374120033255427,0.006202004271006624,0.04812870536273201,1.1889895337427745,7.760185781832818,,False,,seed_ratio_outside_frozen_band
pooled,,0.5,384,0.021942862790990725,0.026318077578798758,0.005766355897367745,0.04779788959026547,1.199391247599853,8.289098078751,2.2967553013480666,False,0,pooled_ratio_outside_frozen_band;fewer_than_two_seeds_in_frozen_band
seed,20260824,1.0,128,0.02114064241176506,0.041186485793532526,0.005303636820059193,0.09751396547009619,1.9482135401245742,18.386244906755863,,False,,seed_ratio_outside_frozen_band
seed,20260825,1.0,128,0.02250447151213554,0.04192769466418853,0.005704106087494254,0.09163451879227949,1.8630828385185147,16.064658929324622,,False,,seed_ratio_outside_frozen_band
seed,20260826,1.0,128,0.022181961476341466,0.041533006837915,0.006202004271006624,0.095260311066521,1.8723775569718082,15.359601010248845,,False,,seed_ratio_outside_frozen_band
pooled,,1.0,384,0.021942862790990725,0.041563525284057136,0.005766355897367745,0.09495598125949449,1.894170586580081,16.467242561778136,3.4401541658418058,False,0,pooled_ratio_outside_frozen_band;fewer_than_two_seeds_in_frozen_band
seed,20260824,2.0,128,0.02114064241176506,0.07183422997951129,0.005303636820059193,0.19458225416295474,3.3979208663751175,36.68845751787036,,False,,seed_ratio_outside_frozen_band
seed,20260825,2.0,128,0.02250447151213554,0.07296104865533572,0.005704106087494254,0.18272215589648982,3.2420689646496013,32.03344276802494,,False,,seed_ratio_outside_frozen_band
seed,20260826,2.0,128,0.022181961476341466,0.0718452047601956,0.006202004271006624,0.189781345031683,3.238902242113407,30.600002311975242,,False,,seed_ratio_outside_frozen_band
pooled,,2.0,384,0.021942862790990725,0.07227267193592013,0.005766355897367745,0.18944543291477672,3.293675607614598,32.85357967607509,4.6840648564751515,False,0,pooled_ratio_outside_frozen_band;fewer_than_two_seeds_in_frozen_band
seed,20260824,4.0,128,0.02114064241176506,0.1330191393241253,0.005303636820059193,0.38877942720928504,6.292104881831703,73.30430804365407,,False,,seed_ratio_outside_frozen_band
seed,20260825,4.0,128,0.02250447151213554,0.13455697146221174,0.005704106087494254,0.3649761573274186,5.97912158877634,63.984812296460696,,False,,seed_ratio_outside_frozen_band
seed,20260826,4.0,128,0.022181961476341466,0.13299458713554121,0.006202004271006624,0.3789542212482238,5.995618885074197,61.10189620793621,,False,,seed_ratio_outside_frozen_band
pooled,,4.0,384,0.021942862790990725,0.13381492344722135,0.005766355897367745,0.3785120993580356,6.098334785293509,65.64147376522851,5.992223466107154,False,0,pooled_ratio_outside_frozen_band;fewer_than_two_seeds_in_frozen_band
