epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
27,3752.81,2.23751,3.16582,0.02077,0.99953,0.34466,0.38079,0.08085,0.0608,0.03389,2.29623,3.19119,0.02342,0,0,0.344664,0.286696,0.287744,0.15,0.004852,0.004852,0.004852,0.002426,0.009704
28,3886.48,2.23212,3.14456,0.02062,1.00007,0.34227,0.36402,0.0911,0.06827,0.03779,2.29379,3.14952,0.02341,0,0,0.342274,0.284697,0.285759,0.15,0.004654,0.004654,0.004654,0.002327,0.009308
29,4020.19,2.24653,3.12011,0.02034,0.99869,0.33829,0.34271,0.09841,0.07316,0.04055,2.27944,3.11342,0.02324,0,0,0.338288,0.280784,0.283029,0.15,0.004456,0.004456,0.004456,0.002228,0.008912
30,4153.59,2.22515,3.1132,0.02055,0.9993,0.33819,0.3676,0.09964,0.06781,0.03897,2.28347,3.13394,0.02294,0,0,0.338186,0.281256,0.282388,0.15,0.004258,0.004258,0.004258,0.002129,0.008516
31,4287.1,2.20538,3.11496,0.02051,0.99857,0.3388,0.29435,0.09609,0.07179,0.0411,2.28197,3.12259,0.0231,0,0,0.338804,0.281634,0.283039,0.15,0.00406,0.00406,0.00406,0.00203,0.00812
32,4420.7,2.19091,3.09963,0.02049,1.00015,0.33755,0.36656,0.08788,0.07351,0.04092,2.2616,3.12194,0.0226,0,0,0.337548,0.280163,0.282417,0.15,0.003862,0.003862,0.003862,0.001931,0.007724
33,4554.16,2.21499,3.08787,0.02028,0.99931,0.33735,0.27703,0.0968,0.06708,0.03592,2.28265,3.17207,0.02281,0,0,0.337345,0.280384,0.281858,0.15,0.003664,0.003664,0.003664,0.001832,0.007328
34,4687.6,2.18943,3.0831,0.02005,0.99901,0.33789,0.31067,0.10788,0.07569,0.04116,2.22354,3.12308,0.02226,0,0,0.337885,0.280643,0.2825,0.15,0.003466,0.003466,0.003466,0.001733,0.006932
35,4821.07,2.18847,3.06235,0.02012,1,0.33465,0.31537,0.10194,0.07323,0.04151,2.24222,3.15758,0.02237,0,0,0.334654,0.278039,0.279718,0.15,0.003268,0.003268,0.003268,0.001634,0.006536
36,4954.76,2.19885,3.04703,0.01995,0.99943,0.3349,0.31482,0.11027,0.08024,0.04551,2.25328,3.13891,0.02189,0,0,0.334898,0.27778,0.280384,0.15,0.00307,0.00307,0.00307,0.001535,0.00614
37,5088.41,2.17831,3.02259,0.01967,0.99954,0.33334,0.26539,0.12569,0.08291,0.04637,2.24935,3.09564,0.02215,0,0,0.333335,0.27722,0.278339,0.15,0.002872,0.002872,0.002872,0.001436,0.005744
38,5221.95,2.16227,3.02675,0.01957,0.99865,0.33183,0.29021,0.10253,0.07899,0.0452,2.2238,3.13624,0.02155,0,0,0.331825,0.275707,0.277334,0.15,0.002674,0.002674,0.002674,0.001337,0.005348
39,5355.51,2.16994,2.99529,0.01959,1.00032,0.33029,0.3023,0.11097,0.07945,0.04417,2.2418,3.11641,0.02202,0,0,0.330292,0.274503,0.275983,0.15,0.002476,0.002476,0.002476,0.001238,0.004952
40,5489.02,2.1694,2.99456,0.01936,0.99952,0.32798,0.32841,0.11085,0.08628,0.04985,2.22543,3.06566,0.02181,0,0,0.327979,0.272453,0.274178,0.15,0.002278,0.002278,0.002278,0.001139,0.004556
41,5622.31,2.20042,3.0606,0.0223,0.99995,0.39018,0.34607,0.1146,0.07871,0.04349,2.24014,3.06426,0.02203,0,0,0.390182,0.320346,0.329957,0.15,0.00208,0.00208,0.00208,0.00104,0.00416
42,5755.29,2.18067,2.97905,0.02208,0.99978,0.37465,0.32551,0.10522,0.08082,0.04622,2.23256,3.0238,0.02194,0,0,0.374652,0.307466,0.316954,0.15,0.001882,0.001882,0.001882,0.000941,0.003764
43,5888.29,2.17059,2.9519,0.02208,0.99912,0.36503,0.30043,0.11375,0.08741,0.04852,2.23426,3.00523,0.02214,0,0,0.365029,0.298791,0.30959,0.15,0.001684,0.001684,0.001684,0.000842,0.003368
44,6021.37,2.1637,2.89027,0.02173,0.99991,0.35759,0.3144,0.11022,0.08911,0.05176,2.21312,3.02042,0.02164,0,0,0.357591,0.293044,0.302941,0.15,0.001486,0.001486,0.001486,0.000743,0.002972
45,6154.68,2.14572,2.88041,0.02168,0.99955,0.35318,0.33658,0.12206,0.08972,0.05311,2.20062,2.98219,0.02142,0,0,0.353182,0.289665,0.298971,0.15,0.001288,0.001288,0.001288,0.000644,0.002576
46,6287.66,2.13092,2.87468,0.02137,1.00092,0.3484,0.29629,0.11413,0.09194,0.05425,2.20199,2.98693,0.02143,0,0,0.3484,0.285618,0.295048,0.15,0.00109,0.00109,0.00109,0.000545,0.00218
47,6420.85,2.13602,2.85075,0.02122,0.99935,0.34828,0.31047,0.12497,0.09011,0.05261,2.19946,2.97304,0.02136,0,0,0.348277,0.285884,0.294579,0.15,0.000892,0.000892,0.000892,0.000446,0.001784
48,6553.93,2.12878,2.85716,0.02141,1.00007,0.34598,0.27754,0.12263,0.09107,0.05393,2.20272,2.98204,0.02153,0,0,0.345982,0.283747,0.292889,0.15,0.000694,0.000694,0.000694,0.000347,0.001388
49,6687.07,2.12598,2.84625,0.02121,1.00008,0.34625,0.31443,0.12175,0.08834,0.05226,2.20336,2.98725,0.02148,0,0,0.346252,0.284746,0.292341,0.15,0.000496,0.000496,0.000496,0.000248,0.000992
50,6820.26,2.12134,2.82933,0.02096,0.99943,0.34524,0.2832,0.12534,0.09163,0.05465,2.1813,2.96931,0.02124,0,0,0.345238,0.283378,0.292019,0.15,0.000298,0.000298,0.000298,0.000149,0.000596
