epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,151.132,3.25326,7.48205,0.04752,1.32497,1.1938,9e-05,0.00089,0,0,3.68128,28.2491,0.06736,0,0,1.1938,0.99436,0.995299,0.15,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,299.73,2.89169,6.43447,0.03804,1.00399,1.18723,0.00199,0.01241,0.00093,0.0003,3.15137,7.12155,0.04991,0,0,1.18723,0.989323,0.989391,0.15,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,446.838,2.62958,5.18947,0.02988,1.00241,1.16047,0.00422,0.03584,0.00127,0.00055,2.96281,21.5685,0.03742,0,0,1.16047,0.966434,0.96768,0.15,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,593.726,2.55746,4.38019,0.02689,1.00158,1.08064,0.00728,0.13918,0.00849,0.00439,2.60438,4.2644,0.0299,0,0,1.08064,0.899565,0.901501,0.15,0.009406,0.009406,0.009406,0.004703,0.018812
5,730.809,2.46115,4.00771,0.02568,1.00322,0.95011,0.03311,0.1657,0.01678,0.00806,2.5445,3.89921,0.02907,0,0,0.950105,0.790252,0.793256,0.15,0.009208,0.009208,0.009208,0.004604,0.018416
6,865.039,2.43563,3.8176,0.02491,0.99755,0.81896,0.27682,0.03499,0.01452,0.00724,2.52108,4.13842,0.02934,0,0,0.818964,0.681262,0.683679,0.15,0.00901,0.00901,0.00901,0.004505,0.01802
7,998.905,2.41747,3.72668,0.02435,0.99825,0.67353,0.53174,0.02341,0.02485,0.01167,2.49325,3.63818,0.02757,0,0,0.67353,0.561102,0.561448,0.15,0.008812,0.008812,0.008812,0.004406,0.017624
8,1132.84,2.43962,3.63163,0.02396,0.9984,0.56038,0.58267,0.02445,0.02458,0.01213,2.52465,3.67667,0.02778,0,0,0.560379,0.467154,0.466811,0.15,0.008614,0.008614,0.008614,0.004307,0.017228
9,1266.83,2.40665,3.57427,0.02337,0.99753,0.50692,0.5423,0.03028,0.03348,0.01854,2.44688,3.53251,0.02652,0,0,0.506918,0.422808,0.422056,0.15,0.008416,0.008416,0.008416,0.004208,0.016832
10,1400.83,2.37809,3.55986,0.02374,0.99773,0.48198,0.48581,0.03829,0.03189,0.01677,2.40079,3.48382,0.02684,0,0,0.481983,0.402618,0.400688,0.15,0.008218,0.008218,0.008218,0.004109,0.016436
