seed,off,on64,on128,delta_dim,delta_off
20260824,0.048125,0.049464999999999995,0.05557,0.006105000000000006,0.007445
20260825,0.0545,0.05394,0.044355,-0.009585000000000003,-0.010145000000000001
20260826,0.05696,0.04967,0.04919,-0.00048000000000000126,-0.007769999999999999
