epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
22,1563.86,2.25414,3.22417,0.02127,0.99806,0.19681,0.39082,0.07942,0.06417,0.0352,2.33534,3.23416,0.02411,0,0,0.196814,0.196814,0,0.328024,0,0.0254455,0.15,0.15,0,1,0.005842,0.005842,0.005842,0.002921,0.011684
23,1630.48,2.26575,3.21869,0.02117,0.99966,0.19278,0.38317,0.08944,0.06731,0.03633,2.33953,3.20237,0.02459,0,0,0.192781,0.192781,0,0.321301,0,0.0248789,0.15,0.15,0,1,0.005644,0.005644,0.005644,0.002822,0.011288
24,1697.82,2.23847,3.21765,0.02099,0.99943,0.19205,0.38129,0.08368,0.06847,0.03822,2.3423,3.20549,0.02421,0,0,0.192048,0.192048,0,0.32008,0,0.0248081,0.15,0.15,0,1,0.005446,0.005446,0.005446,0.002723,0.010892
25,1764.9,2.24192,3.17973,0.02139,0.99895,0.19091,0.37841,0.09158,0.0764,0.03979,2.35152,3.20496,0.02437,0,0,0.190905,0.190905,0,0.318174,0,0.024784,0.15,0.15,0,1,0.005248,0.005248,0.005248,0.002624,0.010496
26,1834.73,2.21556,3.17838,0.02098,0.9989,0.18993,0.31545,0.08184,0.06516,0.03473,2.30502,3.21104,0.02385,0,0,0.189932,0.189932,0,0.316552,0,0.0247194,0.15,0.15,0,1,0.00505,0.00505,0.00505,0.002525,0.0101
27,1905.25,2.23744,3.14698,0.02074,0.99891,0.1893,0.38727,0.08368,0.06555,0.03668,2.37578,3.27044,0.02466,0,0,0.189297,0.189297,0,0.315496,0,0.02467,0.15,0.15,0,1,0.004852,0.004852,0.004852,0.002426,0.009704
28,1977.06,2.23175,3.1288,0.02056,0.99943,0.18793,0.41335,0.09691,0.07949,0.04264,2.32509,3.16807,0.02437,0,0,0.187934,0.187934,0,0.313224,0,0.0245534,0.15,0.15,0,1,0.004654,0.004654,0.004654,0.002327,0.009308
29,2047.96,2.24037,3.10692,0.02026,0.99824,0.18612,0.38428,0.09705,0.0823,0.04568,2.27246,3.12323,0.02314,0,0,0.186117,0.186117,0,0.310195,0,0.024341,0.15,0.15,0,1,0.004456,0.004456,0.004456,0.002228,0.008912
30,2119.35,2.23689,3.10034,0.0205,0.99956,0.18503,0.37704,0.09861,0.07801,0.04284,2.30297,3.12679,0.02375,0,0,0.185031,0.185031,0,0.308386,0,0.0242148,0.15,0.15,0,1,0.004258,0.004258,0.004258,0.002129,0.008516
31,2191.06,2.19087,3.12211,0.02034,0.99968,0.18455,0.33863,0.11113,0.08722,0.04829,2.27675,3.08216,0.02338,0,0,0.184548,0.184548,0,0.30758,0,0.0241787,0.15,0.15,0,1,0.00406,0.00406,0.00406,0.00203,0.00812
32,2261.89,2.16248,3.08072,0.02012,0.99861,0.18413,0.43379,0.0915,0.08035,0.04414,2.28759,3.12538,0.0232,0,0,0.184132,0.184132,0,0.306887,0,0.0243859,0.15,0.15,0,1,0.003862,0.003862,0.003862,0.001931,0.007724
33,2333.86,2.19286,3.0747,0.02,1.00012,0.18363,0.28909,0.10778,0.0816,0.04189,2.28604,3.12724,0.02301,0,0,0.183629,0.183629,0,0.306048,0,0.0241369,0.15,0.15,0,1,0.003664,0.003664,0.003664,0.001832,0.007328
34,2405.64,2.17308,3.06816,0.01976,0.99963,0.18353,0.32346,0.10794,0.09685,0.05242,2.25503,3.07964,0.02308,0,0,0.18353,0.18353,0,0.305883,0,0.0241888,0.15,0.15,0,1,0.003466,0.003466,0.003466,0.001733,0.006932
35,2478.27,2.19031,3.0485,0.02,0.9992,0.18155,0.27337,0.10663,0.07992,0.04455,2.27161,3.12677,0.02318,0,0,0.181547,0.181547,0,0.302578,0,0.0239011,0.15,0.15,0,1,0.003268,0.003268,0.003268,0.001634,0.006536
36,2549.47,2.18767,3.02629,0.01985,0.99946,0.18176,0.31527,0.10826,0.07963,0.04508,2.27605,3.10378,0.02273,0,0,0.181762,0.181762,0,0.302936,0,0.0239869,0.15,0.15,0,1,0.00307,0.00307,0.00307,0.001535,0.00614
37,2621.04,2.17508,3.00248,0.01958,0.99932,0.18064,0.36816,0.12024,0.08595,0.04656,2.25892,3.07235,0.02255,0,0,0.180637,0.180637,0,0.301061,0,0.0239164,0.15,0.15,0,1,0.002872,0.002872,0.002872,0.001436,0.005744
38,2692.42,2.16074,3.00429,0.01963,0.99946,0.18014,0.2861,0.11851,0.08616,0.04853,2.24434,3.04834,0.02229,0,0,0.180143,0.180143,0,0.300239,0,0.0238666,0.15,0.15,0,1,0.002674,0.002674,0.002674,0.001337,0.005348
39,2764.14,2.16274,2.99414,0.01949,0.99975,0.17976,0.35096,0.10778,0.09089,0.05016,2.25736,3.01783,0.02238,0,0,0.179756,0.179756,0,0.299594,0,0.0237653,0.15,0.15,0,1,0.002476,0.002476,0.002476,0.001238,0.004952
40,2835.56,2.15608,2.98084,0.01918,0.99916,0.17938,0.32849,0.10638,0.08895,0.05055,2.2299,3.02249,0.02196,0,0,0.179383,0.179383,0,0.298971,0,0.0238235,0.15,0.15,0,1,0.002278,0.002278,0.002278,0.001139,0.004556
41,2907.84,2.18552,3.04653,0.022,1.00064,0.19613,0.30733,0.11493,0.07958,0.04576,2.2345,3.06838,0.02209,0,0,0.196134,0.196134,0,0.32689,0,0.0255885,0.15,0.15,0,1,0.00208,0.00208,0.00208,0.00104,0.00416
42,2976.92,2.1789,2.95521,0.02202,0.99896,0.19439,0.34321,0.11031,0.08679,0.05042,2.22966,3.03284,0.02217,0,0,0.194388,0.194388,0,0.32398,0,0.0258291,0.15,0.15,0,1,0.001882,0.001882,0.001882,0.000941,0.003764
43,3048.14,2.15854,2.93595,0.02193,0.9999,0.19166,0.27985,0.10889,0.0859,0.04887,2.24838,3.03382,0.02231,0,0,0.191663,0.191663,0,0.319439,0,0.0255337,0.15,0.15,0,1,0.001684,0.001684,0.001684,0.000842,0.003368
44,3119.84,2.17139,2.88311,0.02158,1.00035,0.18971,0.31059,0.1135,0.09227,0.05425,2.21561,3.00754,0.02188,0,0,0.189706,0.189706,0,0.316176,0,0.0253968,0.15,0.15,0,1,0.001486,0.001486,0.001486,0.000743,0.002972
45,3190.81,2.14485,2.88056,0.02148,0.99944,0.1884,0.3112,0.12002,0.09944,0.05843,2.2207,2.98515,0.02207,0,0,0.188398,0.188398,0,0.313996,0,0.0253667,0.15,0.15,0,1,0.001288,0.001288,0.001288,0.000644,0.002576
46,3262.65,2.12697,2.86923,0.02113,1.00071,0.18706,0.29903,0.12084,0.10055,0.05936,2.21192,2.95504,0.02182,0,0,0.187063,0.187063,0,0.311771,0,0.0252471,0.15,0.15,0,1,0.00109,0.00109,0.00109,0.000545,0.00218
47,3337.3,2.13861,2.83645,0.02113,0.99868,0.18699,0.2738,0.12332,0.09452,0.05708,2.21344,2.96567,0.02191,0,0,0.186993,0.186993,0,0.311654,0,0.02528,0.15,0.15,0,1,0.000892,0.000892,0.000892,0.000446,0.001784
48,3411.32,2.1178,2.8373,0.021,1.00042,0.18587,0.2711,0.115,0.09342,0.05536,2.21347,2.97001,0.02186,0,0,0.185871,0.185871,0,0.309785,0,0.0251606,0.15,0.15,0,1,0.000694,0.000694,0.000694,0.000347,0.001388
49,3486.57,2.12762,2.8241,0.0211,1.0001,0.18594,0.27753,0.12247,0.09428,0.05578,2.20683,2.97143,0.02148,0,0,0.185941,0.185941,0,0.309902,0,0.0251252,0.15,0.15,0,1,0.000496,0.000496,0.000496,0.000248,0.000992
50,3561.58,2.11209,2.82913,0.02067,0.99978,0.18549,0.25662,0.12266,0.09629,0.05708,2.19514,2.96104,0.02137,0,0,0.185486,0.185486,0,0.309143,0,0.0250908,0.15,0.15,0,1,0.000298,0.000298,0.000298,0.000149,0.000596
