seed,mean_response_gap_delta,ci_low,ci_high
20260824,-0.006695527117699385,-0.011046211759094147,-0.0023745645536109817
20260825,0.0011811861768364906,-0.0032576493802480384,0.005697243951726702
20260826,-0.0156675330363214,-0.019971311336848884,-0.011412393429782243
pooled,-0.007060624659061432,-0.010139963729307056,-0.0038838368956930934
