seed,epoch_label,epoch,n_total,n_valid,negative_fraction,cosine_n,cosine_mean,cosine_median,cosine_ci_low,cosine_ci_high,cosine_q25,cosine_q75,norm_ratio_n,norm_ratio_mean,norm_ratio_median,norm_ratio_ci_low,norm_ratio_ci_high,norm_ratio_q25,norm_ratio_q75
20260824,early,9,64,64,0.34375,64,0.00410878240859347,0.003429240663535893,0.0007053157169139013,0.006924494635313749,-0.004831901111174375,0.010853342711925507,64,0.015830611053388566,0.009038464166224003,0.007743361406028271,0.010596714913845062,0.0068205303978174925,0.01386312860995531
20260824,late,49,64,64,0.390625,64,0.0025064866290449572,0.0013602545950561762,-0.0005536429089261219,0.0055742994882166386,-0.004554136423394084,0.007918542250990868,64,0.005702794760509278,0.004357903730124235,0.004000882658874617,0.00535734836012125,0.0033692868892103434,0.006072366144508123
20260824,middle,24,64,64,0.4375,64,0.0020673561996318313,0.0010493710287846625,-0.001558296149596572,0.004449538886547089,-0.006900176638737321,0.010235648369416595,64,0.007746557072096039,0.005426002433523536,0.00480791786685586,0.006954126060009003,0.00405575439799577,0.008176186122000217
20260825,early,9,64,64,0.421875,64,0.0022636551193500054,0.00442461809143424,-0.0016121246153488755,0.00938422791659832,-0.008674990851432085,0.014298005262389779,64,0.014122364627837669,0.010809918399900198,0.010015803389251232,0.011792516335844994,0.008487279526889324,0.014994433848187327
20260825,late,49,64,64,0.3125,64,0.003907050597717898,0.0065566436387598515,0.0016128476709127426,0.010676463134586811,-0.004694693372584879,0.014412943972274661,64,0.006023824236763176,0.004411608446389437,0.0038762404583394527,0.0049947043880820274,0.0031605581752955914,0.0060714451828971505
20260825,middle,24,64,64,0.4375,64,0.0031706790760495096,0.0013762159505859017,-0.0012150737165939063,0.006165782455354929,-0.006939976941794157,0.015315405558794737,64,0.007478719035134418,0.005994167411699891,0.005191280506551266,0.006302169291302562,0.004320056992582977,0.007614121655933559
20260826,early,9,64,64,0.421875,64,0.004486891661599657,0.005927090533077717,-0.0034958571195602417,0.011376233771443367,-0.007136669009923935,0.017820746637880802,64,0.012183395909232786,0.00902092782780528,0.007951428648084402,0.01024908758699894,0.007061421754769981,0.013893580297008157
20260826,late,49,64,64,0.484375,64,0.0022046577132641687,0.0015009211492724717,-0.003673948347568512,0.006109234876930714,-0.00693192845210433,0.011986235855147243,64,0.006307202575044357,0.004582573659718037,0.0039633759297430515,0.005284624639898539,0.0032549461466260254,0.006231371313333511
20260826,middle,24,64,64,0.4375,64,0.002683252757833543,0.0023883183021098375,-0.000565648966585286,0.006158523261547089,-0.005536491866223514,0.009797528386116028,64,0.009072825723706046,0.005201796535402536,0.004632013384252787,0.005748113384470344,0.004189609433524311,0.008531120605766773
