epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,151.036,3.26013,7.57875,0.04687,1.32551,1.07512,0.00051,0.00146,2e-05,0,3.79344,445.371,0.06984,0,0,1.07512,0.995891,0.795978,0.15,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,299.331,2.9143,6.58,0.03822,1.00249,0.97585,0.00263,0.00988,0.00065,0.00017,2.96919,6.75132,0.04457,0,0,0.975847,0.993674,0.632737,0.15,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,446.043,2.62102,5.45361,0.03038,1.00257,0.8666,0.00423,0.03929,0.00259,0.00129,2.68011,5.17213,0.03429,0,0,0.866601,0.982484,0.461851,0.15,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,592.767,2.52701,4.40125,0.02692,1.00162,0.76579,0.00567,0.13951,0.01049,0.00528,2.5822,4.23596,0.03077,0,0,0.765792,0.943331,0.332989,0.15,0.009406,0.009406,0.009406,0.004703,0.018812
5,729.789,2.47758,3.99237,0.0257,1.00348,0.69516,0.00606,0.18734,0.01385,0.0071,2.55785,3.95465,0.02921,0,0,0.695162,0.879268,0.279335,0.15,0.009208,0.009208,0.009208,0.004604,0.018416
6,863.749,2.44379,3.84005,0.02491,0.99792,0.6418,0.33984,0.04839,0.01821,0.00974,2.49588,3.78351,0.0281,0,0,0.6418,0.813383,0.256284,0.15,0.00901,0.00901,0.00901,0.004505,0.01802
7,997.698,2.41858,3.70818,0.02402,0.9985,0.59694,0.55917,0.0212,0.02386,0.0126,2.44736,3.58514,0.02709,0,0,0.596935,0.754487,0.240405,0.15,0.008812,0.008812,0.008812,0.004406,0.017624
8,1131.83,2.39853,3.63724,0.0236,0.99742,0.55256,0.51161,0.036,0.02889,0.01493,2.47837,3.55952,0.02675,0,0,0.552556,0.696281,0.224645,0.15,0.008614,0.008614,0.008614,0.004307,0.017228
9,1265.87,2.36275,3.57647,0.02335,0.99763,0.52738,0.53762,0.03982,0.03043,0.01577,2.44392,3.54425,0.02647,0,0,0.527375,0.649026,0.229933,0.15,0.008416,0.008416,0.008416,0.004208,0.016832
10,1399.85,2.40207,3.5207,0.02318,0.99828,0.48311,0.51963,0.03815,0.03378,0.01654,2.43095,3.50391,0.02641,0,0,0.483109,0.592547,0.212634,0.15,0.008218,0.008218,0.008218,0.004109,0.016436
11,1533.89,2.38014,3.49436,0.02299,0.99879,0.44998,0.52022,0.04158,0.0436,0.02355,2.45328,3.49106,0.02561,0,0,0.449985,0.538748,0.211227,0.15,0.00802,0.00802,0.00802,0.00401,0.01604
12,1667.67,2.32009,3.4944,0.02296,0.99855,0.4124,0.48683,0.05227,0.04195,0.02247,2.3947,3.44863,0.02564,0,0,0.412399,0.489904,0.197429,0.15,0.007822,0.007822,0.007822,0.003911,0.015644
